char,type,sheet,sx,sy,line,order,width,height
110E116C1105,1,2,7128,4382,4,8,310,340
110711610000,3,2,7114,4739,4,9,352,311
110311610000,2,2,7120,5083,4,10,375,305
110011A10000,1,2,7158,5791,4,11,327,298
110B11670000,11,2,6637,1301,5,1,337,320
11091167114C,1,2,6641,1617,5,2,328,348
11061167114C,4,2,6638,2316,5,3,328,337
110B11731105,10,2,6650,3038,5,4,327,318
1106119E0000,6,2,6685,3376,5,5,288,283
110E119E0000,2,2,6657,3704,5,6,334,321
110911750000,33,2,6672,4054,5,7,313,289
110211750000,67,2,6691,4392,5,8,295,301
110C119E0000,3,2,6188,1303,6,1,324,328
110911751100,2,2,6207,1976,6,2,301,336
110B11651107,2,2,6224,2661,6,3,292,326
110911730000,4,2,6205,3041,6,4,341,276
110911751105,9,2,6214,3345,6,5,305,352
110A11A10000,8,2,6190,3705,6,6,327,324
110611691106,8,2,6211,4036,6,7,345,341
110B11621109,2,2,6222,4395,6,8,328,326
111111751105,1,2,6218,4727,6,9,304,351
1106116C0000,2,2,6211,5106,6,10,329,299
1112116A0000,6,2,6212,5435,6,11,361,327
110011730000,2,2,6199,5773,6,12,332,279
110511730000,2,2,6223,6118,6,13,333,309
110911660000,3,2,5707,1291,7,1,366,297
110311611106,2,2,5723,1627,7,2,364,325
110B11610000,10,2,5745,1981,7,3,320,337
110211611106,3,2,5739,2331,7,4,350,341
110211670000,1,2,5759,3037,7,5,330,301
110511731105,1,2,5773,3720,7,6,319,335
110211620000,2,2,5765,4078,7,7,329,301
1140119E0000,13,2,5759,4416,7,8,341,305
112B119E0000,21,2,5797,4735,7,9,251,340
110211750000,68,2,5786,5108,7,10,295,298
110111740000,25,2,5312,1996,8,1,305,308
114C11690000,15,2,5286,2640,8,2,339,342
110B11650000,6,2,4529,1324,9,1,325,298
110B11671109,1,2,4539,1639,9,2,323,330
110711730000,6,2,4534,2011,9,3,335,283
110911751102,2,2,4526,2325,9,4,308,328
11061167114C,3,2,4513,2665,9,5,330,341
